Reposo
Calibrando
Offset: 0
MEDIDAS OBTENIDAS RAW value
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
1,3,3,3,7,7,7,7,15,15,
15,15,15,24,28,28,28,30,31,30,
31,31,31,31,31,31,39,35,35,39,
39,48,48,48,48,48,48,48,48,48,
48,48,48,48,48,39,31,31,31,31,
31,31,31,31,31,31,31,28,28,28,
30,28,28,28,24,31,28,24,24,24,
24,28,28,28,31,24,24,28,24,28,
28,28,28,28,28,28,24,28,24,24,
24,15,15,15,15,7,7,7,7,7,
7,7,15,7,15,15,15,15,15,15,
15,15,15,15,15,15,7,15,15,15,
15,15,15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,7,15,
15,15,15,15,15,15,15,15,7,15,
MEDIDAS OBTENIDAS RAW value
15,15,15,15,15,15,15,15,7,15,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,3,3,3,7,7,7,7,7,15,
15,15,15,24,24,28,28,30,31,31,
31,31,31,31,31,31,31,31,31,31,
31,31,35,35,35,31,31,31,31,31,
31,31,31,31,30,30,28,30,30,31,
28,31,30,30,30,28,30,30,30,30,
28,31,28,28,30,24,28,28,31,31,
31,31,31,31,31,30,30,30,28,28,
30,30,28,28,24,28,28,28,24,24,
24,24,15,15,15,7,7,7,15,7,
7,7,7,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,15,7,
15,15,15,15,15,15,15,15,15,7,
MEDIDAS OBTENIDAS RAW value
15,15,15,15,15,15,15,15,15,7,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
1,1,3,7,7,7,7,7,7,7,
15,15,15,15,15,15,15,15,15,15,
15,24,24,24,28,28,28,28,24,28,
30,30,31,31,31,31,31,35,35,39,
39,39,39,39,39,35,35,39,3,39,
39,35,35,31,31,31,31,31,31,31,
31,31,31,31,31,31,31,31,31,31,
31,31,31,30,30,30,30,30,30,28,
28,28,24,24,24,24,28,24,24,28,
24,24,15,15,15,15,7,15,7,7,
7,7,15,7,7,15,24,15,15,15,
15,15,15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,15,15,
MEDIDAS OBTENIDAS RAW value
15,15,15,15,15,15,15,15,15,15,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,3,7,7,7,7,
15,15,15,24,24,28,28,30,31,31,
31,31,31,31,31,31,31,39,35,39,
31,39,39,35,39,48,48,48,48,48,
