Reposo
Calibrando
Offset: 0
MEDIDAS OBTENIDAS RAW value
MEDIDAS OBTENIDAS RAW value
824,816,799,847,824,799,799,799,824,799,
7,3,3,0,24,7,3,0,7,7,
31,56,56,35,63,63,103,112,112,127,
127,159,167,192,207,193,216,224,224,248,
252,255,287,287,304,287,319,319,355,355,
352,387,419,412,432,448,463,480,510,496,
512,540,527,575,575,574,608,632,639,624,
664,671,696,768,768,768,775,768,771,783,
783,799,799,799,798,798,807,816,799,816,
799,799,799,824,799,799,799,799,799,799,
824,799,831,799,816,824,824,816,824,824,
824,824,816,816,816,824,816,828,824,828,
831,816,824,824,824,896,846,816,831,828,
824,831,831,831,847,831,828,831,831,847,
896,824,839,831,816,824,824,816,847,896,
828,830,816,831,824,830,847,828,830,816,
831,828,831,830,830,828,828,830,831,828,
824,824,828,828,828,828,828,824,824,830,
824,831,828,831,828,831,828,824,824,824,
824,824,799,828,824,824,830,824,824,824,
824,824,799,828,824,824,830,824,824,824,
MEDIDAS OBTENIDAS RAW value
824,824,799,828,824,824,830,824,824,824,
1,1,63,0,1,28,0,24,3,56,
28,63,96,63,63,71,71,88,120,96,
127,156,176,192,192,199,216,224,227,240,
248,255,255,287,312,319,319,335,335,353,
384,391,399,414,448,448,448,472,483,480,
504,542,543,572,575,608,608,624,632,639,
664,696,704,768,768,768,768,769,769,783,
799,775,799,799,796,639,799,798,824,799,
798,783,796,807,775,799,824,768,816,816,
831,799,816,824,816,799,799,816,799,816,
824,816,816,824,807,807,824,824,816,831,
824,824,824,828,824,828,824,824,831,828,
824,831,831,824,824,830,828,824,839,824,
828,839,830,824,830,816,824,799,799,816,
828,828,828,831,831,828,830,831,828,831,
831,828,831,831,799,824,828,816,831,831,
824,831,828,799,847,828,807,830,816,828,
830,896,831,828,828,896,839,831,824,824,
824,824,828,824,831,824,824,816,824,828,
824,824,828,824,831,824,824,816,824,828,
MEDIDAS OBTENIDAS RAW value
824,824,828,824,831,824,824,816,824,828,
0,0,0,1,7,0,7,15,7,7,
31,39,60,56,63,71,71,99,120,99,
127,152,184,192,193,195,207,224,240,216,
255,255,255,319,287,319,319,335,352,319,
399,391,412,415,448,451,463,463,480,483,
508,540,543,568,575,575,600,615,632,639,
639,688,704,705,768,768,768,768,768,783,
783,799,796,799,799,799,799,799,798,799,
816,799,799,799,828,816,796,799,799,807,
816,816,799,799,824,799,799,816,807,816,
816,824,824,824,816,816,828,824,824,799,
828,830,831,816,831,824,799,799,831,847,
831,896,830,831,828,824,828,799,828,828,
824,824,824,828,816,824,816,799,799,816,
824,830,830,824,824,824,816,828,830,824,
824,828,824,828,831,828,824,828,828,831,
824,828,831,828,824,830,824,828,831,824,
828,831,824,828,839,824,824,807,824,824,
824,824,828,816,799,828,824,816,828,816,
824,824,828,816,799,828,824,816,828,816,
MEDIDAS OBTENIDAS RAW value
824,824,828,816,799,828,824,816,828,816,
0,3,0,1,3,3,0,7,3,7,
31,31,48,63,63,96,88,71,159,99,
152,167,176,192,199,199,207,224,248,240,
248,255,287,287,304,319,319,352,352,355,
384,391,399,415,448,448,463,480,483,496,
519,543,556,568,591,604,591,624,638,671,
639,688,768,707,768,768,768,768,796,796,
783,824,831,796,816,799,798,799,799,816,
816,799,799,816,799,799,816,799,824,824,
799,824,799,824,816,824,807,824,828,816,
828,824,816,816,824,816,799,828,824,807,
830,828,824,824,824,824,828,824,824,828,
828,828,847,824,824,824,828,830,824,824,
828,831,830,824,830,824,847,824,828,816,
831,831,831,831,799,830,831,783,828,847,
828,831,847,831,824,847,831,824,847,828,
828,831,824,828,824,830,839,830,828,830,
831,824,824,830,824,824,816,824,824,831,
824,824,828,824,816,830,824,816,831,824,
824,824,828,824,816,830,824,816,831,824,
MEDIDAS OBTENIDAS RAW value
824,824,828,824,816,830,824,816,831,824,
3,0,15,7,3,31,15,0,31,24,
39,48,48,63,56,79,88,79,96,120,
112,143,184,207,195,193,240,227,224,254,
252,255,287,304,316,319,327,335,359,355,
384,391,399,423,448,449,455,483,480,504,
512,536,568,568,575,591,608,609,632,639,
639,696,704,768,768,768,768,768,768,775,
783,798,796,799,798,799,799,824,799,799,
799,816,799,799,799,816,799,799,816,799,
816,816,799,828,824,824,824,828,799,824,
824,824,831,828,824,824,816,824,839,896,
830,824,831,816,831,824,824,824,828,824,
824,824,824,830,824,816,828,828,828,828,
828,824,824,816,824,816,799,799,816,816,
824,828,828,828,831,830,830,828,828,831,
828,828,831,831,828,830,828,828,831,830,
824,839,831,824,816,824,824,828,824,832,
824,824,824,831,856,824,828,847,831,799,
831,828,824,816,816,798,824,799,799,828,
831,828,824,816,816,798,824,799,799,828,
MEDIDAS OBTENIDAS RAW value
831,828,824,816,816,798,824,799,799,828,
0,7,3,1,7,0,0,7,15,7,
31,48,56,62,60,92,103,79,126,112,
143,159,184,192,192,207,224,224,231,240,
252,255,255,312,295,312,319,352,352,384,
368,415,399,415,440,455,480,480,481,560,
504,542,575,575,591,604,608,632,636,639,
671,704,704,768,768,768,768,771,775,796,
798,796,796,798,799,799,799,799,799,799,
799,799,799,799,799,799,799,799,799,799,
799,816,799,783,799,799,799,799,824,816,
816,824,816,816,816,799,807,824,824,824,
828,824,824,824,816,824,830,816,824,830,
831,828,824,856,799,831,824,796,896,799,
816,828,799,847,783,816,824,824,824,831,
831,830,824,831,824,828,824,831,828,831,
828,824,828,824,828,828,824,824,828,831,
824,824,824,828,824,816,831,828,824,830,
828,828,824,828,816,830,816,824,824,824,
824,799,816,816,799,824,824,816,828,816,
824,799,816,816,799,824,824,816,828,816,
MEDIDAS OBTENIDAS RAW value
824,799,816,816,799,824,824,816,828,816,
31,28,3,0,15,15,1,15,24,15,
31,48,71,63,63,96,88,96,7,120,
127,156,192,176,192,199,224,224,252,248,
240,255,255,287,316,319,335,344,352,355,
384,391,391,423,448,448,463,480,496,496,
508,527,543,568,575,604,609,624,639,655,
639,704,711,768,768,768,768,775,771,783,
799,828,775,783,799,796,799,839,796,824,
775,796,799,768,799,799,828,799,816,824,
824,807,824,799,783,799,799,824,799,799,
816,816,799,824,816,807,824,816,816,824,
828,799,824,831,816,831,824,824,828,824,
824,824,828,824,830,824,824,831,824,824,
799,824,816,816,799,816,824,830,824,824,
824,830,828,831,831,828,828,831,828,824,
828,828,824,847,828,830,831,828,831,831,
828,828,828,896,831,799,824,824,847,824,
828,847,831,824,831,824,831,799,824,828,
807,816,824,824,816,816,816,824,824,824,
807,816,824,824,816,816,816,824,824,824,
MEDIDAS OBTENIDAS RAW value
807,816,824,824,816,816,816,824,824,824,
1,7,7,24,3,7,24,7,7,7,
30,60,56,63,96,71,92,124,120,127,
127,159,184,184,193,207,195,224,225,224,
255,255,295,287,304,319,335,344,352,384,
385,387,415,448,448,455,463,472,487,508,
513,542,543,572,591,600,419,632,636,639,
655,704,705,768,768,768,768,768,783,799,
799,799,796,796,792,796,799,799,799,799,
799,799,799,799,783,799,799,798,799,816,
799,799,816,824,799,816,816,824,828,824,
799,799,824,864,824,824,896,816,896,799,
831,824,799,831,828,799,824,824,847,847,
830,824,799,828,824,799,816,824,830,824,
824,831,824,799,799,799,824,816,824,831,
828,828,824,831,828,828,828,828,831,824,
824,828,830,828,828,824,828,824,824,828,
828,824,824,824,824,828,831,828,831,799,
828,824,824,824,824,824,816,824,824,824,
824,816,799,824,828,824,824,824,831,828,
824,816,799,824,828,824,824,824,831,828,
MEDIDAS OBTENIDAS RAW value
824,816,799,824,828,824,824,824,831,828,
0,0,1,0,7,3,7,31,15,7,
48,31,56,63,60,96,88,96,103,112,
127,158,167,184,193,195,207,224,240,231,
255,255,255,287,304,319,192,344,352,355,
368,384,408,415,423,448,463,480,480,504,
504,536,543,560,591,591,608,639,632,639,
655,688,671,768,768,768,768,768,771,783,
775,816,799,775,816,799,783,824,799,799,
799,816,799,799,799,831,807,799,799,799,
799,807,799,816,824,799,824,799,799,824,
816,828,807,816,828,824,807,828,816,816,
824,816,824,828,824,816,824,816,831,828,
824,828,830,824,824,828,828,824,828,824,
830,824,816,807,799,799,807,824,816,824,
831,828,847,828,824,839,831,824,816,830,
864,799,816,831,824,831,831,830,831,831,
824,828,847,824,831,824,824,831,828,824,
831,824,824,830,828,824,831,824,824,824,
824,824,830,799,824,824,799,824,824,824,
824,824,830,799,824,824,799,824,824,824,
MEDIDAS OBTENIDAS RAW value
824,824,830,799,824,824,799,824,824,824,
1,7,7,3,7,3,3,15,7,7,
31,48,48,56,62,112,63,112,120,103,
127,192,199,176,199,193,224,225,240,255,
255,252,255,286,344,319,319,352,368,352,
399,399,432,415,448,448,455,480,483,504,
511,527,560,568,575,591,624,632,636,639,
639,704,704,707,768,768,768,775,783,775,
792,816,796,796,799,792,798,799,798,799,
799,799,799,816,799,799,799,824,799,799,
